epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2662.49,1.67455,0.73998,0.80268,0.91121,0.91111,0.94437,0.50943,1.40016,0.66258,0.69789,0.0009506,0.0009506,0.0009506
55,2710.39,1.67084,0.7127,0.8027,0.90435,0.89834,0.93472,0.46824,1.48457,0.69139,0.69978,0.0009308,0.0009308,0.0009308
56,2759.18,1.63981,0.73811,0.79568,0.9106,0.88982,0.94085,0.50713,1.36151,0.65473,0.69604,0.000911,0.000911,0.000911
57,2808.18,1.69686,0.80473,0.79688,0.91966,0.89425,0.94762,0.53446,1.30564,0.64349,0.69798,0.0008912,0.0008912,0.0008912
58,2856.87,1.60909,0.71824,0.79219,0.883,0.88486,0.93014,0.48394,1.40408,0.65525,0.69726,0.0008714,0.0008714,0.0008714
59,2905.51,1.62413,0.70989,0.7975,0.90191,0.90183,0.94011,0.50452,1.37095,0.65669,0.69523,0.0008516,0.0008516,0.0008516
60,2953.89,1.61722,0.72518,0.79705,0.90033,0.90345,0.94113,0.50589,1.36862,0.65448,0.69619,0.0008318,0.0008318,0.0008318
61,3002.04,1.65026,0.71997,0.79198,0.90833,0.88966,0.93433,0.48654,1.41924,0.6711,0.69552,0.000812,0.000812,0.000812
62,3050.68,1.63434,0.70348,0.79431,0.90604,0.87931,0.93378,0.51175,1.37016,0.69308,0.69608,0.0007922,0.0007922,0.0007922
63,3098.97,1.64928,0.71228,0.79999,0.92969,0.90181,0.95086,0.48471,1.48196,0.66187,0.69967,0.0007724,0.0007724,0.0007724
64,3147.1,1.54573,0.67634,0.78808,0.8871,0.89717,0.93091,0.50449,1.3242,0.65006,0.69538,0.0007526,0.0007526,0.0007526
65,3195.52,1.62335,0.70088,0.79849,0.88179,0.87586,0.92505,0.5142,1.31211,0.60801,0.69477,0.0007328,0.0007328,0.0007328
66,3243.46,1.57824,0.69057,0.79914,0.8837,0.87922,0.9217,0.4597,1.45049,0.69005,0.69742,0.000713,0.000713,0.000713
67,3291.4,1.66398,0.71808,0.79896,0.90148,0.89046,0.9399,0.54003,1.26553,0.61514,0.69348,0.0006932,0.0006932,0.0006932
68,3340.17,1.5977,0.70483,0.7952,0.90839,0.9042,0.93913,0.49857,1.36277,0.64178,0.69422,0.0006734,0.0006734,0.0006734
69,3389.05,1.55714,0.71477,0.78006,0.91458,0.90192,0.9433,0.53484,1.27435,0.62488,0.6933,0.0006536,0.0006536,0.0006536
70,3438.32,1.64478,0.71474,0.79738,0.8966,0.89732,0.93402,0.48867,1.39113,0.64283,0.69732,0.0006338,0.0006338,0.0006338
71,3486.53,1.57285,0.68514,0.79266,0.92105,0.89395,0.94382,0.53275,1.32487,0.60786,0.6946,0.000614,0.000614,0.000614
72,3537.84,1.56241,0.68515,0.77894,0.91652,0.8918,0.93866,0.50046,1.39287,0.64334,0.69401,0.0005942,0.0005942,0.0005942
73,3587.12,1.61051,0.68241,0.79274,0.92386,0.90184,0.94845,0.54436,1.28258,0.62886,0.69269,0.0005744,0.0005744,0.0005744
74,3635.75,1.59409,0.68837,0.7952,0.89811,0.90421,0.94076,0.53474,1.27657,0.62234,0.69192,0.0005546,0.0005546,0.0005546
75,3685.03,1.58197,0.69473,0.79203,0.89955,0.87433,0.93263,0.50869,1.35096,0.66109,0.69404,0.0005348,0.0005348,0.0005348
76,3733.82,1.61728,0.71571,0.79474,0.93175,0.8997,0.94987,0.55022,1.28316,0.65167,0.69445,0.000515,0.000515,0.000515
77,3783.13,1.54932,0.70188,0.80286,0.89844,0.87443,0.92686,0.50423,1.32948,0.62536,0.69467,0.0004952,0.0004952,0.0004952
78,3832.33,1.55573,0.69431,0.79447,0.90898,0.88,0.94063,0.53713,1.28784,0.62905,0.69301,0.0004754,0.0004754,0.0004754
79,3881.49,1.52895,0.64667,0.79466,0.90955,0.90153,0.94224,0.50576,1.38449,0.66123,0.69447,0.0004556,0.0004556,0.0004556
80,3929.76,1.54877,0.69955,0.79594,0.9052,0.90115,0.94114,0.54633,1.26792,0.61192,0.69351,0.0004358,0.0004358,0.0004358
81,3977.58,1.5252,0.66933,0.79012,0.90683,0.895,0.94292,0.54581,1.24353,0.60593,0.69169,0.000416,0.000416,0.000416
82,4026.02,1.56208,0.67533,0.79065,0.93471,0.92146,0.95476,0.45935,1.6309,0.70681,0.70414,0.0003962,0.0003962,0.0003962
83,4073.89,1.53971,0.68033,0.79065,0.91246,0.90421,0.94614,0.54914,1.26947,0.61493,0.69355,0.0003764,0.0003764,0.0003764
84,4122.37,1.5299,0.70463,0.79084,0.9263,0.91034,0.95095,0.52464,1.34068,0.63487,0.69395,0.0003566,0.0003566,0.0003566
85,4171.17,1.49834,0.67077,0.79055,0.92576,0.89821,0.94826,0.55836,1.20595,0.60921,0.69117,0.0003368,0.0003368,0.0003368
86,4219.36,1.52733,0.68159,0.79462,0.92439,0.90038,0.94937,0.52633,1.32387,0.63507,0.69313,0.000317,0.000317,0.000317
87,4268.33,1.52744,0.6791,0.79972,0.91986,0.90593,0.94892,0.55809,1.24415,0.61255,0.69292,0.0002972,0.0002972,0.0002972
88,4316.33,1.50088,0.67226,0.79719,0.91869,0.90913,0.94687,0.53759,1.28593,0.61572,0.69191,0.0002774,0.0002774,0.0002774
89,4364.53,1.49783,0.64741,0.7876,0.90755,0.89518,0.94615,0.55865,1.19254,0.61031,0.69098,0.0002576,0.0002576,0.0002576
90,4412.93,1.44588,0.65551,0.78278,0.9217,0.902,0.9506,0.54415,1.29436,0.62416,0.69229,0.0002378,0.0002378,0.0002378
91,4461.06,1.47556,0.63681,0.78709,0.91466,0.90192,0.94901,0.57548,1.18278,0.60497,0.69068,0.000218,0.000218,0.000218
92,4509.6,1.47344,0.64114,0.78918,0.91131,0.88974,0.94045,0.52151,1.32321,0.62388,0.69277,0.0001982,0.0001982,0.0001982
93,4558.2,1.47474,0.63358,0.78998,0.91769,0.90881,0.95088,0.57711,1.18215,0.58105,0.69052,0.0001784,0.0001784,0.0001784
94,4607.48,1.45813,0.6313,0.79328,0.91134,0.89349,0.9445,0.56104,1.20984,0.59072,0.69111,0.0001586,0.0001586,0.0001586
95,4655.96,1.46143,0.64377,0.78588,0.90754,0.89425,0.94065,0.54936,1.23579,0.5953,0.69095,0.0001388,0.0001388,0.0001388
96,4704.08,1.43936,0.62826,0.78848,0.91175,0.90246,0.94623,0.56828,1.18492,0.58571,0.69066,0.000119,0.000119,0.000119
97,4753.19,1.48896,0.639,0.79251,0.91082,0.90421,0.94789,0.55846,1.21222,0.5943,0.69094,9.92e-05,9.92e-05,9.92e-05
98,4802.26,1.43396,0.63113,0.78676,0.91413,0.91188,0.95087,0.55423,1.23356,0.59712,0.69159,7.94e-05,7.94e-05,7.94e-05
99,4852.66,1.43301,0.62404,0.78601,0.91159,0.90867,0.94945,0.56211,1.21067,0.59518,0.69122,5.96e-05,5.96e-05,5.96e-05
100,4902.53,1.42487,0.61692,0.79102,0.90745,0.90164,0.946,0.56033,1.20367,0.58995,0.69049,3.98e-05,3.98e-05,3.98e-05
